,Date,Time,Open,High,Low,Close,Volume
676,2020-04-13,13:07:00,152.89,152.96,152.73,152.73,515.70489
677,2020-04-13,13:08:00,152.72,152.73,152.57,152.57,427.44115
678,2020-04-13,13:09:00,152.57,152.6,152.46,152.6,448.18183
679,2020-04-13,13:10:00,152.64,152.64,152.45,152.49,150.66557
680,2020-04-13,13:11:00,152.49,152.82,152.47,152.82,650.08049
681,2020-04-13,13:12:00,152.78,152.87,152.72,152.76,250.47084
682,2020-04-13,13:13:00,152.78,152.79,152.7,152.74,101.76567
683,2020-04-13,13:14:00,152.74,152.74,152.5,152.54,286.36448
684,2020-04-13,13:15:00,152.55,152.57,152.42,152.42,172.53873
685,2020-04-13,13:16:00,152.43,152.65,152.43,152.65,192.60513
686,2020-04-13,13:17:00,152.65,152.73,152.56,152.69,287.71309
687,2020-04-13,13:18:00,152.74,152.83,152.68,152.71,194.69415
688,2020-04-13,13:19:00,152.67,152.79,152.67,152.73,119.92244
689,2020-04-13,13:20:00,152.73,153.44,152.72,153.41,1444.02711
690,2020-04-13,13:21:00,153.42,153.61,153.36,153.53,1005.07669
691,2020-04-13,13:22:00,153.55,153.61,153.35,153.45,599.67166
692,2020-04-13,13:23:00,153.42,153.47,153.2,153.21,249.7528
693,2020-04-13,13:24:00,153.2,153.21,153.05,153.13,605.89085
694,2020-04-13,13:25:00,153.12,153.21,153.06,153.17,746.46701
695,2020-04-13,13:26:00,153.14,153.4,153.09,153.39,124.44503
696,2020-04-13,13:27:00,153.39,153.5,153.34,153.39,399.48376
697,2020-04-13,13:28:00,153.38,153.43,153.15,153.33,705.3604
698,2020-04-13,13:29:00,153.29,153.47,153.29,153.46,228.98225
699,2020-04-13,13:30:00,153.46,153.55,153.09,153.09,765.10288
700,2020-04-13,13:31:00,153.09,153.11,152.9,152.95,483.93982
701,2020-04-13,13:32:00,152.94,152.95,152.68,152.71,288.99369
702,2020-04-13,13:33:00,152.74,152.74,152.58,152.71,323.37121
703,2020-04-13,13:34:00,152.71,152.88,152.6,152.67,903.49625
704,2020-04-13,13:35:00,152.66,152.72,152.51,152.51,819.03104
705,2020-04-13,13:36:00,152.51,152.7,152.4,152.66,792.95945
706,2020-04-13,13:37:00,152.7,152.88,152.68,152.88,360.23981
707,2020-04-13,13:38:00,152.85,153.18,152.85,153.0,389.61075
708,2020-04-13,13:39:00,152.98,153.05,152.75,152.9,241.49819
709,2020-04-13,13:40:00,153.0,153.01,152.77,152.86,226.6035
710,2020-04-13,13:41:00,152.85,152.88,152.54,152.58,196.91467
711,2020-04-13,13:42:00,152.61,152.66,152.44,152.45,478.59941
712,2020-04-13,13:43:00,152.45,152.95,152.45,152.95,266.47722
713,2020-04-13,13:44:00,152.95,153.0,152.66,152.69,160.93036
714,2020-04-13,13:45:00,152.73,152.87,152.62,152.67,562.14722
715,2020-04-13,13:46:00,152.65,152.71,152.55,152.71,268.69128
716,2020-04-13,13:47:00,152.71,152.91,152.52,152.52,297.53534
717,2020-04-13,13:48:00,152.52,152.6,152.42,152.59,310.4058
718,2020-04-13,13:49:00,152.59,152.63,152.5,152.58,185.81084
719,2020-04-13,13:50:00,152.62,152.62,152.51,152.58,191.90406
720,2020-04-13,13:51:00,152.58,152.7,152.48,152.7,895.11651
721,2020-04-13,13:52:00,152.7,152.7,152.47,152.49,912.46766
722,2020-04-13,13:53:00,152.49,152.56,152.2,152.23,982.14955
723,2020-04-13,13:54:00,152.23,152.4,152.21,152.31,497.82679
724,2020-04-13,13:55:00,152.36,152.57,152.24,152.44,539.1603
725,2020-04-13,13:56:00,152.45,152.75,152.37,152.74,320.1849
726,2020-04-13,13:57:00,152.72,152.72,152.29,152.37,429.97587
727,2020-04-13,13:58:00,152.34,152.47,151.6,151.76,2781.64672
728,2020-04-13,13:59:00,151.74,151.78,151.03,151.41,4864.44016
729,2020-04-13,14:00:00,151.41,151.83,151.09,151.59,3260.79644
730,2020-04-13,14:01:00,151.62,151.74,151.32,151.49,2378.87921
731,2020-04-13,14:02:00,151.49,151.84,151.34,151.73,3533.14923
732,2020-04-13,14:03:00,151.72,153.04,151.69,153.02,4347.62192
733,2020-04-13,14:04:00,153.01,153.19,152.57,152.61,2256.59575
734,2020-04-13,14:05:00,152.59,153.05,152.59,152.98,1266.52718
735,2020-04-13,14:06:00,153.01,153.07,152.74,152.95,737.75388
736,2020-04-13,14:07:00,152.94,153.1,152.8,153.1,620.38511
737,2020-04-13,14:08:00,153.09,153.17,152.84,153.05,478.05461
738,2020-04-13,14:09:00,153.04,153.15,152.87,153.1,450.64667
739,2020-04-13,14:10:00,153.13,153.5,153.08,153.5,1171.30955
740,2020-04-13,14:11:00,153.49,154.36,153.46,153.96,3148.40756
741,2020-04-13,14:12:00,153.98,154.24,153.85,153.88,1800.30841
